id,name,gender,group,История,Высшая метематика,Информатика,Русский язык,Дискретная метематика,Дизайн,Философия,Теория вероятности,ООП,Экономика,Численные методы,Теория баз данных,БЖД,Основы теории алгоритмов,Операционные системы,Правоведение,Data mining,Управление данными,Предотвращение коррупции,Моделирование систем,WEB,Английский язык,Интеллектуальный анализ данных,Java
23,Стрелкова Агафья Викторовна,Female,1,89,78,72,81,70,65,88,66,69,93,65,77,76,76,84,87,82,77,88,81,77,91,72,73
24,Вера Кирилловна Тетерина,Female,1,82,84,72,74,92,83,74,87,68,80,79,65,69,79,70,85,84,81,72,89,66,68,94,79
25,Марков Натан Евстигнеевич,Male,1,92,77,91,78,76,95,82,88,100,82,75,96,92,91,89,83,83,94,89,90,98,87,82,94
26,тов. Соловьева Евфросиния Артемовна,Female,1,71,64,61,72,67,69,77,68,64,61,73,61,62,75,76,64,60,74,65,70,64,67,79,78
27,Колобова Наина Васильевна,Female,1,62,67,72,70,71,74,77,68,61,74,72,60,76,56,64,69,78,63,68,57,55,71,77,74
28,Василиса Богдановна Калашникова,Female,1,88,85,80,81,72,73,90,66,79,93,70,78,76,81,69,88,81,80,78,65,70,95,68,72
29,Гуляева Вероника Игоревна,Female,1,58,66,79,78,78,68,62,76,70,79,61,73,77,76,60,68,65,75,73,79,74,61,66,76
30,Людмила Викторовна Громова,Female,1,76,75,82,78,65,84,79,76,95,78,77,95,71,80,87,73,83,87,73,82,94,84,84,77
31,Денисова Надежда Егоровна,Female,1,62,54,54,78,63,79,60,76,55,65,69,62,66,71,67,75,69,79,70,65,72,77,62,54
32,Вера Кузьминична Романова,Female,1,70,90,74,85,88,76,67,84,71,67,85,79,68,81,83,70,91,73,79,94,76,68,91,69
33,Шарова Анастасия Эдуардовна,Female,1,69,75,77,83,69,95,75,66,86,71,73,75,80,72,76,80,70,76,65,69,84,67,67,86
34,Потапова Ия Степановна,Female,1,68,75,81,73,74,82,65,79,84,75,68,83,68,78,84,68,85,87,72,80,79,79,74,88
35,Костин Ратмир Харитонович,Male,1,68,80,78,77,67,84,82,85,92,83,84,84,83,83,86,76,83,92,75,71,89,79,84,91
36,Лора Аскольдовна Жукова,Female,1,97,88,82,88,93,77,85,77,94,100,93,95,86,94,81,89,87,94,93,83,83,86,80,85
37,Павлова Екатерина Феликсовна,Female,1,89,84,89,87,87,92,78,95,90,92,92,86,91,90,88,93,95,99,85,75,90,94,79,88
38,Авдеев Поликарп Даниилович,Male,1,75,82,75,89,68,82,91,79,76,83,75,76,84,66,68,79,82,77,94,80,80,85,70,85
39,Горбачева Анжела Ниловна,Female,1,81,76,72,83,88,69,80,75,71,83,86,74,78,83,68,79,92,84,72,82,82,75,78,73
40,Агата Евгеньевна Зыкова,Female,1,70,68,67,71,74,65,61,79,65,74,63,63,78,55,77,78,66,62,70,70,65,63,70,69
41,Анжелика Геннадиевна Веселова,Female,1,73,65,81,66,82,76,67,78,87,74,78,86,81,70,86,65,66,85,83,81,94,72,78,87
42,Надежда Павловна Михеева,Female,1,68,60,50,66,61,72,64,61,68,52,71,64,67,64,66,70,71,77,69,52,66,77,73,72
43,Чернов Арсений Фадеевич,Male,1,60,68,76,62,62,63,79,72,50,69,58,74,78,60,66,66,68,74,69,76,60,57,50,79
44,Фомина Пелагея Максимовна,Female,1,82,69,77,69,77,83,84,67,95,76,81,89,66,74,75,80,65,81,83,78,82,69,83,88
45,Марков Тихон Матвеевич,Male,1,78,66,72,77,63,51,72,71,75,74,71,69,57,76,55,54,70,64,54,66,65,61,73,73
46,Прокофий Дмитриевич Рогов,Male,1,72,76,62,76,51,69,56,67,74,78,79,79,63,64,70,64,73,60,65,78,61,55,65,76
47,Кузьмина Наина Наумовна,Female,1,73,94,74,72,75,68,68,75,76,76,85,69,70,94,74,72,90,80,72,84,69,73,94,77
48,Панкрат Геннадиевич Фадеев,Male,1,73,87,72,82,88,75,83,91,66,71,93,77,80,90,79,82,86,85,75,92,73,78,87,77
49,г-н Савин Конон Антипович,Male,1,77,82,91,75,76,97,84,84,98,79,89,86,76,78,86,94,76,96,81,86,88,85,81,100
50,Королев Любим Филиппович,Male,1,68,78,68,79,74,69,74,66,69,70,73,56,66,67,72,71,69,78,61,60,63,71,67,69
51,Кононов Артемий Арсеньевич,Male,1,96,85,87,98,87,90,92,78,75,86,91,80,98,94,89,96,82,95,94,88,81,88,80,80
52,Григорий Аксёнович Шашков,Male,2,81,80,92,81,79,80,81,85,81,66,70,93,68,76,78,74,67,83,76,84,85,83,67,89
53,Платон Харлампьевич Корнилов,Male,2,64,73,68,70,70,68,61,71,76,75,75,77,62,73,78,62,78,68,69,75,66,76,74,75
54,Максимильян Антипович Симонов,Male,2,81,74,78,69,84,80,76,68,83,77,66,81,66,65,87,75,69,92,84,80,93,83,78,76
55,Давыд Харлампьевич Степанов,Male,2,93,98,79,75,99,87,78,86,90,79,93,84,92,86,88,91,86,81,81,98,81,82,86,85
56,Вероника Харитоновна Сысоева,Female,2,88,77,85,89,80,69,75,83,74,83,67,76,84,65,65,76,78,67,83,78,83,78,74,83
57,Афанасьева Евфросиния Никифоровна,Female,2,79,87,70,85,82,67,81,91,83,67,77,76,79,81,82,80,76,71,80,78,72,80,95,67
58,Исаков Данила Юльевич,Male,2,70,70,78,79,78,62,74,71,78,63,60,76,70,68,61,66,69,60,66,64,73,77,60,62
59,Яковлева Ольга Вадимовна,Female,2,75,84,97,79,88,90,93,86,92,82,86,94,94,84,96,78,91,86,89,79,99,83,75,99
60,Терентьев Панкратий Ермилович,Male,2,78,65,81,85,70,88,75,73,80,75,74,75,70,71,85,83,80,85,73,77,84,70,74,86
61,Рюрик Арсеньевич Доронин,Male,2,76,76,90,90,82,98,85,87,89,81,85,86,83,76,90,78,83,92,80,87,95,92,79,91
62,Иванна Богдановна Игнатьева,Female,2,61,67,74,75,67,76,60,71,64,75,74,78,70,63,76,71,73,65,64,69,61,62,66,68
63,Титова Лора Богдановна,Female,2,81,78,100,81,84,87,83,77,90,77,77,92,75,85,98,94,93,97,94,91,85,84,75,96
64,Трофимова Лариса Тимофеевна,Female,2,89,74,85,77,77,77,88,76,74,88,69,71,90,81,65,75,73,78,89,71,71,84,68,72
65,Юлия Захаровна Ефремова,Female,2,76,74,70,89,85,79,75,70,76,86,77,70,94,84,80,75,82,67,86,74,65,82,78,82
66,Терентий Харлампьевич Тихонов,Male,2,79,50,69,74,76,77,56,75,68,61,71,77,60,69,61,65,66,76,64,65,79,71,71,63
67,Марфа Тарасовна Чернова,Female,2,95,90,89,86,90,85,90,85,86,91,96,91,82,88,85,89,89,94,78,85,79,85,91,93
68,Вера Тимофеевна Харитонова,Female,2,75,74,76,88,77,71,79,66,78,84,69,81,88,68,69,94,67,76,76,75,83,86,85,85
69,Воробьев Фадей Дорофеевич,Male,2,87,95,82,98,85,77,97,82,86,86,84,79,88,75,95,85,75,89,85,86,79,95,92,94
70,Велимир Евсеевич Стрелков,Male,2,75,76,75,69,64,50,65,56,76,79,79,73,73,66,77,75,76,64,78,50,62,72,76,76
71,Соловьева Алевтина Леонидовна,Female,2,66,92,68,85,78,79,76,90,71,70,76,81,84,79,72,79,76,83,68,82,71,78,87,77
72,Максимильян Ефимьевич Волков,Male,2,68,84,90,82,71,92,71,79,92,80,77,84,73,85,80,81,82,80,79,68,78,84,68,82
73,Сысоева Зоя Степановна,Female,2,76,77,72,71,81,73,69,81,65,83,93,82,70,81,82,79,87,78,65,83,71,77,95,67
74,Степан Давидович Федотов,Male,2,77,68,74,79,65,71,80,68,80,89,68,69,77,77,78,88,79,69,85,80,81,77,78,78
75,Щукина Людмила Сергеевна,Female,2,54,76,65,74,50,61,63,76,64,70,51,77,71,50,76,66,77,66,62,66,68,79,62,63
76,Наркис Васильевич Кононов,Male,2,69,65,89,84,84,84,71,75,89,81,68,93,84,70,87,81,72,89,83,68,78,81,79,76
77,Королева Екатерина Кузьминична,Female,2,79,65,66,71,67,72,62,74,61,65,78,64,71,74,73,72,66,76,62,75,50,63,55,70
78,Глафира Олеговна Коновалова,Female,2,76,78,66,70,82,84,70,86,70,77,85,71,74,85,83,66,78,70,73,90,74,80,77,82
79,Марина Макаровна Сафонова,Female,2,75,73,72,73,79,68,74,67,78,77,71,62,77,63,69,77,74,72,61,68,79,71,71,73
80,Давыд Гаврилович Михеев,Male,2,85,79,90,87,82,87,97,82,89,89,87,82,94,75,95,96,78,93,87,80,93,91,77,78
81,Фортунат Тимурович Гришин,Male,2,88,83,84,94,81,91,97,78,89,94,76,85,95,80,76,89,87,80,85,81,94,96,86,86
82,Моисеева Надежда Максимовна,Female,2,80,67,79,72,76,87,75,72,81,67,77,83,79,72,95,76,77,83,73,68,80,72,77,80
83,Тамара Филипповна Кузнецова,Female,2,92,92,79,82,93,94,84,98,75,85,98,90,93,87,76,75,88,82,79,100,78,95,88,94
84,Зосима Владиленович Кузнецов,Male,2,92,77,66,75,66,85,95,77,85,85,75,70,77,79,74,79,82,67,92,67,80,77,71,70
85,Куприян Тарасович Константинов,Male,2,100,77,92,89,80,78,89,82,78,91,94,82,91,87,86,88,90,90,86,86,89,100,82,79
86,Щукина Екатерина Эдуардовна,Female,2,95,97,80,87,97,75,84,88,94,88,92,95,85,89,79,92,99,94,78,100,90,87,92,95
87,Анжелика Рубеновна Никонова,Female,2,86,86,82,90,90,89,88,84,92,96,91,87,99,84,78,85,84,86,96,84,92,86,76,93
88,Мартынова Алла Кузьминична,Female,2,75,85,79,85,99,81,81,92,83,77,96,88,95,93,76,94,93,79,88,98,94,81,97,84
89,Котов Сократ Филатович,Male,2,71,76,57,69,75,68,71,67,70,61,62,68,53,77,79,66,76,69,63,52,63,76,62,72
90,Анна Аскольдовна Семенова,Female,2,64,67,76,56,60,64,59,62,75,75,64,75,71,62,66,78,74,77,72,73,64,75,51,68
91,Носов Кузьма Валерианович,Male,2,75,73,88,84,81,77,66,67,91,70,65,83,69,73,95,66,69,81,83,83,93,72,67,92
92,Одинцова Нина Юрьевна,Female,2,60,69,72,73,68,72,74,57,72,70,66,63,69,51,56,75,79,78,67,65,73,75,74,62
93,Соловьев Гордей Арсенович,Male,2,68,91,81,82,87,67,71,83,68,78,79,85,70,81,77,77,93,73,79,95,83,68,85,79
94,Лукия Владиславовна Исакова,Female,2,73,77,59,74,74,78,73,61,78,59,68,56,74,64,74,64,62,78,72,78,66,66,77,67
95,Вишняков Тит Фадеевич,Male,2,75,71,86,65,67,76,65,65,90,80,66,81,84,75,75,74,84,79,71,72,88,79,68,91
96,Алина Семеновна Кудряшова,Female,2,69,79,95,85,80,75,84,65,95,66,76,86,75,70,86,74,71,94,73,82,91,76,68,88
97,Евдокия Ниловна Брагина,Female,2,81,90,81,93,89,94,89,95,92,83,100,91,93,92,75,78,94,93,91,88,93,92,91,83
98,Жуков Леонид Филиппович,Male,2,69,71,56,65,64,79,60,53,70,73,71,67,60,79,74,62,78,73,69,70,71,73,74,63
99,Киселев Аникита Авдеевич,Male,2,75,92,77,80,91,81,79,90,89,87,89,94,76,96,85,90,96,84,95,91,93,83,99,87
100,Иванна Леонидовна Миронова,Female,2,61,72,62,74,65,58,79,74,77,69,71,60,61,74,78,77,64,54,63,60,56,76,68,76
101,Валентина Натановна Сорокина,Female,2,62,64,55,64,74,52,72,62,62,68,77,62,79,50,79,70,54,68,72,65,67,75,74,73
102,Анастасия Сергеевна Рябова,Female,2,83,92,76,78,93,71,68,76,83,82,83,70,66,89,65,84,77,71,80,91,78,66,85,76
103,Чернов Самуил Юлианович,Male,3,71,93,74,66,84,73,83,86,76,84,89,85,72,82,79,80,78,76,78,92,69,70,87,69
104,Маргарита Аскольдовна Богданова,Female,3,79,96,93,88,94,91,75,100,78,84,92,90,91,99,91,89,90,85,78,97,93,93,99,90
105,Ковалев Мартьян Трофимович,Male,3,68,78,69,61,60,75,61,78,65,68,64,79,68,72,63,66,76,60,76,56,65,55,55,64
106,Варвара Николаевна Тихонова,Female,3,74,92,78,77,81,65,71,94,73,74,83,65,70,88,73,75,92,83,81,83,68,85,92,65
107,Сафонова Светлана Матвеевна,Female,3,83,83,94,67,73,80,67,78,81,78,75,90,82,78,76,66,83,91,73,76,77,71,69,85
108,Стрелкова Октябрина Владимировна,Female,3,65,78,78,71,56,73,65,60,79,68,71,78,73,59,63,75,62,68,67,62,50,65,62,67
109,Галактион Владиславович Беляков,Male,3,84,83,77,74,65,89,76,69,79,75,82,79,78,67,75,84,75,92,76,76,93,68,67,93
110,Игнатова Акулина Архиповна,Female,3,72,78,72,74,61,54,75,67,61,63,66,63,78,67,64,66,78,62,70,56,67,72,64,66
111,Соколов Виталий Устинович,Male,3,85,89,84,78,84,70,78,83,79,65,77,83,72,76,66,80,75,76,66,78,68,85,94,67
112,Крюкова Антонина Святославовна,Female,3,89,75,90,91,76,85,95,86,94,89,95,90,92,88,76,90,87,94,100,77,94,99,77,82
113,Мухин Кирилл Ильич,Male,3,69,77,66,55,60,77,68,72,74,76,61,72,58,57,74,74,60,72,72,75,77,78,77,65
114,Афанасьева Дарья Харитоновна,Female,3,81,66,78,85,82,93,83,82,80,82,67,90,79,72,82,84,67,83,78,82,93,82,85,82
115,Владлен Андреевич Беляев,Male,3,89,75,94,87,93,94,86,83,89,91,89,75,100,80,92,87,90,79,93,88,94,98,87,77
116,Варвара Георгиевна Исакова,Female,3,84,82,71,86,80,83,90,78,70,75,79,66,85,71,81,82,76,80,86,77,70,86,76,68
117,Королев Андрей Владиленович,Male,3,75,63,67,75,65,61,75,60,65,61,72,64,51,68,64,73,67,63,67,57,55,79,69,74
118,Федосеева Иванна Аскольдовна,Female,3,74,77,61,68,51,74,76,72,50,74,79,64,50,76,58,58,79,70,60,61,68,65,60,61
119,Любовь Ниловна Кулакова,Female,3,95,91,94,78,96,80,95,94,82,79,92,85,94,93,82,78,95,89,85,88,91,76,86,83
120,Лебедев Януарий Ермилович,Male,3,85,93,75,89,98,77,75,100,77,84,90,79,75,89,77,94,95,85,75,96,76,82,90,84
121,Воробьева Таисия Олеговна,Female,3,80,76,71,75,84,67,77,88,85,84,91,79,73,91,80,84,79,76,83,93,79,66,92,68
122,Всеслав Гордеевич Сафонов,Male,3,63,68,68,74,75,60,65,62,63,66,60,70,79,61,57,61,73,50,71,76,67,76,72,63
123,Крюков Степан Гурьевич,Male,3,70,68,62,70,53,69,76,75,66,54,75,68,76,67,61,62,68,70,62,65,79,71,68,59
124,Анастасия Аркадьевна Кошелева,Female,3,84,80,93,83,70,75,80,85,75,82,68,86,76,80,78,81,65,80,65,77,95,82,65,91
125,Воронцова Феврония Ильинична,Female,3,78,95,85,73,89,82,82,88,65,69,76,82,69,95,66,71,75,83,82,88,67,77,88,83
126,Чеслав Ефимович Громов,Male,3,69,63,77,70,65,78,68,71,76,72,72,65,60,67,63,75,68,59,73,75,68,74,73,68
127,Пахом Антипович Симонов,Male,3,83,65,79,82,85,81,79,67,82,67,77,90,84,81,82,76,68,80,80,72,93,65,67,75
128,г-н Прохоров Иларион Харламович,Male,3,87,90,94,99,77,92,95,80,87,85,78,89,96,80,91,98,95,79,93,75,85,85,85,75
129,Горбунов Трофим Демидович,Male,3,78,57,59,53,64,76,77,76,68,66,61,71,56,76,78,79,61,72,62,65,66,77,55,65
130,Белякова Вероника Тарасовна,Female,3,80,79,81,72,77,78,76,68,87,66,71,81,85,76,78,81,76,81,82,75,81,77,66,77
131,Самойлова Ангелина Мироновна,Female,3,61,75,78,77,75,67,67,66,78,68,60,72,53,64,58,50,70,73,52,67,52,76,74,71
132,Федосеева Екатерина Артемовна,Female,3,68,76,77,80,83,88,67,80,83,65,78,87,82,81,77,82,75,87,68,85,92,83,85,86
133,Шубина Зинаида Архиповна,Female,3,65,79,87,84,74,84,78,66,78,75,75,95,73,72,85,78,83,90,67,82,76,71,79,77
134,Артемьев Антип Дорофеевич,Male,3,97,88,92,90,94,89,99,87,94,94,75,88,87,89,91,89,81,90,88,78,76,88,88,89
135,Терентьева Акулина Валентиновна,Female,3,79,68,70,74,70,67,78,79,74,77,79,78,77,61,79,77,72,61,64,77,72,75,72,66
136,Ульян Захарьевич Красильников,Male,3,82,82,79,81,85,71,85,66,73,81,75,76,84,68,81,86,81,68,87,66,75,88,79,84
137,Ипат Иосипович Мишин,Male,3,71,75,64,51,67,63,76,71,55,72,63,60,68,79,77,66,50,72,69,79,79,68,64,71
138,Колобов Гаврила Владленович,Male,3,70,85,94,84,72,88,82,80,89,68,77,81,67,75,95,66,73,87,76,76,79,77,81,83
139,Кудряшова София Степановна,Female,3,66,79,60,62,78,70,65,62,61,70,59,66,68,67,70,67,74,74,69,65,78,64,79,73
140,Любовь Оскаровна Лебедева,Female,3,55,79,72,70,51,67,77,73,74,75,65,65,60,74,53,64,54,54,60,79,67,67,57,68
141,Кондрат Гурьевич Силин,Male,3,63,67,69,72,68,72,78,67,75,76,62,63,79,61,64,77,73,54,73,75,70,71,70,56
142,Аверкий Игнатьевич Козлов,Male,3,90,78,74,80,83,85,82,66,71,94,72,83,92,82,78,91,76,73,82,67,78,93,78,75
143,Аскольд Федосьевич Белоусов,Male,3,64,69,60,72,60,74,78,79,60,75,73,66,63,73,67,74,74,73,75,77,52,65,79,66
144,Титов Демьян Глебович,Male,3,80,70,76,83,72,76,95,81,85,88,72,74,95,85,81,87,71,70,75,78,65,86,74,79
145,Калинин Афанасий Игоревич,Male,3,93,81,95,93,76,75,96,95,88,85,91,88,98,90,78,93,81,92,89,92,78,87,77,94
146,Ильин Юрий Ефремович,Male,3,88,95,83,97,95,85,100,92,84,88,78,89,85,93,87,85,95,80,86,82,84,100,93,88
147,Зоя Кирилловна Исаева,Female,3,76,63,71,69,62,56,77,63,67,60,75,58,50,78,77,74,66,77,63,75,66,63,73,78
148,Надежда Игоревна Некрасова,Female,3,77,86,79,84,89,78,77,99,87,79,94,81,92,93,86,90,89,88,84,100,83,84,90,94
149,Комаров Кондратий Федосьевич,Male,3,75,79,77,85,78,71,90,78,82,84,67,74,91,69,71,77,75,75,76,68,71,90,74,78
150,Зуева Феврония Андреевна,Female,3,75,74,75,88,67,73,87,85,81,80,77,79,89,80,84,94,84,66,85,76,69,81,85,66
151,Белоусова Наталья Васильевна,Female,3,85,98,95,88,96,78,86,99,76,80,95,91,89,90,89,85,90,90,88,99,87,91,100,88
152,Ираида Даниловна Логинова,Female,3,83,80,79,73,72,81,83,74,86,79,68,94,66,77,89,83,76,84,66,79,92,75,80,77
153,Субботин Сергей Владиленович,Male,3,69,75,80,73,85,65,65,85,80,77,83,80,78,79,69,65,85,74,82,85,79,79,92,69
